Level,Discharge,Width,DeadStorage
0,0,0,0
0.00021627815120922,0.522208450515189,0.0599894475203138,0
0.000220775356319851,0.534572799963424,0.0612829955356858,0
0.000225430153779901,0.547406825629855,0.0626228884802288,0
0.000230251753593861,0.560739097383799,0.0640118638925669,0
0.000235249801628553,0.574599711090883,0.0654527934699735,0
0.0002404309660153,0.589010805443891,0.0669476984260872,0
0.000245807953193967,0.604011635348646,0.068500350695688,0
0.000251106795803228,0.618838527627858,0.0700316550312264,0
0.000256838005921685,0.634923566824055,0.0716892400306245,0
0.000262775389745295,0.651639198913954,0.0734078829888611,0
0.000269023726747905,0.669286238464453,0.0752180701529208,0
0.000275526237375984,0.687710869017122,0.0771035277488035,0
0.000282298451737876,0.706963141429225,0.0790689201647938,0
0.000289352974645345,0.727085381263298,0.0811180782365725,0
0.000296712127777348,0.748148306634718,0.0832576729267107,0
0.000304390550032626,0.770201465902848,0.0854921629048797,0
0.000314078642109465,0.798135374095867,0.088314424430761,0
0.000334701753103407,0.857988809897267,0.0943326972512143,0
0.000339814408746732,0.872906622716364,0.0958268159594478,0
0.000349434331066933,0.901059001662703,0.0986403570841308,0
0.000355052872144635,0.917550870588001,0.100284930418442,0
0.00036049244645166,0.933551546990582,0.101878027393378,0
0.000365537186672,0.948420422977128,0.103356275646709,0
0.0003706356313009,0.963476189618981,0.104851019715694,0
0.000376016399336142,0.979396470651802,0.106429350739759,0
0.00038201660599721,0.997186351062163,0.108190355367991,0
0.000393572179208632,1.0315547872281,0.111584648598988,0
0.000405998075937462,1.06866628275876,0.115238658044085,0
0.000416047528308796,1.09879453780642,0.118196842564858,0
0.000429705120026499,1.13989976676759,0.12222131252047,0
0.000440780274211351,1.17336464746773,0.125488265085833,0
0.000453887935455612,1.21311997326652,0.129358646322473,0
0.000466855883516684,1.2526067382156,0.133191802899311,0
0.000479615120791493,1.29160502474877,0.136967074193041,0
0.000497042172262885,1.34509991788244,0.142129408529002,0
0.000511243526697768,1.388884002956,0.146341123359451,0
0.000530695563278602,1.44912672331935,0.15211697238306,0
0.000547545778119312,1.5015572697287,0.157126547813168,0
0.000562177639902294,1.54726526660363,0.161481192956397,0
0.000569455745097656,1.57006216797481,0.163648810532952,0
0.000577374873435202,1.594912309571,0.166008494138621,0
0.000589729036280166,1.63377271265948,0.169692057356603,0
0.000603709045855926,1.67788193227085,0.173863794449022,0
0.000609963961336165,1.69766278765254,0.175731457279887,0
0.000631929043318421,1.76734503976944,0.182295547495745,0
0.000645108213980054,1.80931516411449,0.186238067964947,0
0.000658662194187969,1.85260163635681,0.190295787982603,0
0.000672709282025953,1.89759190502819,0.194504358041787,0
0.000682728531047352,1.92976066371172,0.197508139842635,0
0.000697094450952596,1.97599806937725,0.201817869007649,0
0.000708755427899418,2.01362576278031,0.205318518672965,0
0.000718580355952466,2.04539487293996,0.208269621038905,0
0.000731766584502025,2.08812635328937,0.212232671995991,0
0.000748895701480647,2.14379276406439,0.217384635403235,0
0.000764245496587551,2.19382531535508,0.222005097430426,0
0.000774535193900468,2.22744187869082,0.225104319461102,0
0.000790190326592027,2.27870466755959,0.229822477792609,0
0.000807033277685893,2.33401256652531,0.234902442722864,0
0.000819265673818352,2.37428007696213,0.23859426676745,0
0.000840365413616997,2.44393103347436,0.244967045295405,0
0.00085827084582869,2.50322602074781,0.250379645752787,0
0.000889598462984607,2.60737605737236,0.259859511971884,0
0.000920506048518096,2.7106236539675,0.269224262443166,0
0.000970559525242723,2.87883299914507,0.284414338405839,0
0.00103704396243288,3.10409713515688,0.304635000627726,0
0.00107258658031241,3.22534638953113,0.315464663192907,0
0.00110740204331604,3.34465035036678,0.326085514016806,0
0.00112715689074239,3.41257533555406,0.332117416605163,0
0.00117745566264882,3.58625431472235,0.34749286326491,0
0.00120814212171799,3.69271642938635,0.356885055804131,0
0.00122914910619344,3.76581162662765,0.363319706266829,0
0.00126046717055965,3.87510244525049,0.372920201335642,0
0.00128645680624807,3.96608204933249,0.380893918721536,0
0.00130335201881629,4.02536119612444,0.386080604246884,0
0.00131687207006208,4.07287411828876,0.390232918856935,0
0.00133747534027895,4.14540775414852,0.396563647292975,0
0.00137173125171929,4.26634376388301,0.407097276207461,0
0.00137954268117467,4.29397937509304,0.409500633519508,0
0.00140322747599877,4.37790318301226,0.416790813489484,0
0.00143075749553376,4.47569610274225,0.425270211268879,0
0.00145813525785184,4.57320429489801,0.433708638608207,0
0.00149484630636816,4.70434739871678,0.445032877294745,0
0.00153663761369497,4.8541764512549,0.45793660512832,0
0.00156664650799319,4.96210945511713,0.467210274715264,0
0.00159460488853464,5.06292279780524,0.475856128593862,0
0.00164087433667031,5.23029399696369,0.490176650446637,0
0.00168203702037997,5.37973771944443,0.502929059449207,0
0.00170494805549132,5.46313587735049,0.51003198335155,0
0.00173071575001,5.55711613252922,0.518024707878991,0
0.00177238934785995,5.70951384051181,0.530960383079415,0
0.00179995816920403,5.81060225962199,0.5395240088411,0
0.00189275422826139,6.15240878438744,0.568383878874582,0
0.00195157089984098,6.37025483892535,0.586703056080603,0
0.00200574164541947,6.57169158093753,0.603593106927827,0
0.00209165940771238,6.89270660607425,0.630415745444284,0
0.00214085784645935,7.0773473381191,0.645793269616981,0
0.00221307557626409,7.34943090600123,0.668389094391019,0
0.00230818217740711,7.70960491789128,0.698187573956541,0
0.00241612628975137,8.12086344390951,0.732062674624887,0
0.00246722352089082,8.31642689435773,0.748117531078003,0
0.00254842027249549,8.62832932347917,0.773654671952262,0
0.00257729225961568,8.73956673414652,0.782742413777172,0
